Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
CCCCCCCCCC[n+]1cc[nH]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.447,279.9,489.504
CCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,2.446,279.1,274.264
CCCCCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,2.412,258.1,330.372
CCCCCCCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,2.451,282.8,358.426
CCCCCCn1cc[n+](C)c1,CS(=O)(=O)[O-],CCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],2.491,309.5,262.375
CCCCCCCn1cc[n+](C)c1,CS(=O)(=O)[O-],CCCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],2.492,310.2,276.402
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],2.695,495.15,316.327
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],2.673,471.15,344.381
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],2.685,484.15,372.435
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],2.685,484.15,400.489
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],2.682,481.15,428.543
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,2.71,512.35,295.173
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,2.646,442.95,323.227
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,2.635,431.75,351.281
