Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
COC(=O)c1ccc(NC(=O)C[n+]2cn(C(C)CC#N)c3cccc(C)c32)cc1,[Br-],COC(=O)c1ccc(NC(=O)C[n+]2cn(C(C)CC#N)c3cccc(C)c32)cc1.[Br-],2.618,415.15,471.355
COC(=O)C[n+]1c(N)n(NCc2ccccc2)c2ccccc21,[Br-],COC(=O)C[n+]1c(N)n(NCc2ccccc2)c2ccccc21.[Br-],2.689,489.15,391.269
C#CC[n+]1c(CO)n(CCC#N)c2ccccc21,[Br-],C#CC[n+]1c(CO)n(CCC#N)c2ccccc21.[Br-],2.663,460.15,320.19
C=CC[n+]1c(CO)n(CCC#N)c2ccccc21,[Br-],C=CC[n+]1c(CO)n(CCC#N)c2ccccc21.[Br-],2.663,460.15,322.206
CCc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],CCc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.635,431.15,398.304
Cc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],Cc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.677,475.15,384.277
CCCc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],CCCc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.683,482.15,412.331
N#CCCn1c(CO)[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],N#CCCn1c(CO)[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.68,478.15,400.276
CCCCc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],CCCCc1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.649,446.15,426.358
CC(O)c1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],CC(O)c1n(CCC#N)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.659,456.15,414.303
Cc1n(N)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],Cc1n(N)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.702,503.15,346.228
Cc1n(N)c2ccccc2[n+]1CC(=O)c1cccs1,[Br-],Cc1n(N)c2ccccc2[n+]1CC(=O)c1cccs1.[Br-],2.695,495.15,352.257
Cc1n(N=Cc2ccccc2)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],Cc1n(N=Cc2ccccc2)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.693,493.15,434.337
Cc1n(NCc2ccccc2)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],Cc1n(NCc2ccccc2)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.692,492.15,436.353
Cc1n(N=Cc2ccc([N+](=O)[O-])cc2)c2ccccc2[n+]1CC(=O)c1ccccc1,[Br-],Cc1n(N=Cc2ccc([N+](=O)[O-])cc2)c2ccccc2[n+]1CC(=O)c1ccccc1.[Br-],2.709,511.15,479.334
Cc1n(NCc2ccccc2)c2ccccc2[n+]1CC(=O)c1ccc([N+](=O)[O-])cc1,[Br-],Cc1n(NCc2ccccc2)c2ccccc2[n+]1CC(=O)c1ccc([N+](=O)[O-])cc1.[Br-],2.701,502.15,481.35
CCn1c[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],CCn1c[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.587,386.15,345.24
C=CCn1c[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],C=CCn1c[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.579,379.15,357.251
O=C(C[n+]1cn(CO)c2ccccc21)c1ccccc1,[Br-],O=C(C[n+]1cn(CO)c2ccccc21)c1ccccc1.[Br-],2.659,456.15,347.212
C=CCn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21,[Br-],C=CCn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21.[Br-],2.689,488.15,436.147
CCn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21,[Br-],CCn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21.[Br-],2.673,471.15,424.136
C=C(Br)Cn1c[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],C=C(Br)Cn1c[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.641,437.15,436.147
O=C(C[n+]1cn(CO)c2ccccc21)c1ccc(Br)cc1,[Br-],O=C(C[n+]1cn(CO)c2ccccc21)c1ccc(Br)cc1.[Br-],2.709,512.15,426.108
C=C(Br)Cn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21,[Br-],C=C(Br)Cn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21.[Br-],2.618,415.15,515.043
O=C(C[n+]1cn(Cc2ccccc2)c2ccccc21)c1ccc(Br)cc1,[Br-],O=C(C[n+]1cn(Cc2ccccc2)c2ccccc21)c1ccc(Br)cc1.[Br-],2.601,399.15,486.207
CC(=O)C[n+]1cn(Cc2ccccc2)c2ccccc21,[Br-],CC(=O)C[n+]1cn(Cc2ccccc2)c2ccccc21.[Br-],2.604,402.15,345.24
CCOC(=O)C[n+]1c(C)n(Cc2ccccc2)c2ccccc21,[Br-],CCOC(=O)C[n+]1c(C)n(Cc2ccccc2)c2ccccc21.[Br-],2.712,515.15,389.293
CC(=O)C[n+]1cn(C)c2ccccc21,[Br-],CC(=O)C[n+]1cn(C)c2ccccc21.[Br-],2.593,392.15,269.142
Cn1c(Sc2ccccc2)[n+](Cc2ccccc2)c2ccccc21,[Br-],Cn1c(Sc2ccccc2)[n+](Cc2ccccc2)c2ccccc21.[Br-],2.639,435.15,411.368
C=CCn1c[n+](CC=C)c2ccccc21,[Br-],C=CCn1c[n+](CC=C)c2ccccc21.[Br-],2.567,369.15,279.181
CC=CC[n+]1cn(CCOCC)c2ccccc21,[Br-],CC=CC[n+]1cn(CCOCC)c2ccccc21.[Br-],2.58,380.15,325.25
C#CC[n+]1cn(CC=C)c2ccccc21,[Br-],C#CC[n+]1cn(CC=C)c2ccccc21.[Br-],2.654,451.15,277.165
C=CCn1c[n+](Cc2ccccc2)c2ccccc21,[Br-],C=CCn1c[n+](Cc2ccccc2)c2ccccc21.[Br-],2.676,474.15,329.241
CC=CC[n+]1cn(CCOCC)c2ccc(C)cc21,[Br-],CC=CC[n+]1cn(CCOCC)c2ccc(C)cc21.[Br-],2.544,350.15,339.277
C=CC[n+]1cn(CCOCC)c2ccc(C)cc21,[Br-],C=CC[n+]1cn(CCOCC)c2ccc(C)cc21.[Br-],2.603,401.15,325.25
CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21,[Br-],CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21.[Br-],2.682,481.15,341.369
C=CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21,[Br-],C=CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21.[Br-],2.6,398.15,353.38
C=CCn1c[n+](Cc2ccc(Br)cc2)c2ccccc21,[Br-],C=CCn1c[n+](Cc2ccc(Br)cc2)c2ccccc21.[Br-],2.655,452.15,408.137
CCOCCn1c[n+](CCc2ccccc2)c2ccccc21,[Br-],CCOCCn1c[n+](CCc2ccccc2)c2ccccc21.[Br-],2.555,359.15,375.31
C=CCn1c[n+](CC#C[Si](C)(C)C)c2ccccc21,[Br-],C=CCn1c[n+](CC#C[Si](C)(C)C)c2ccccc21.[Br-],2.621,418.15,349.348
C#CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21,[Br-],C#CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21.[Br-],2.643,439.15,351.364
COCCn1c[n+](CCc2ccccc2)c2cc(C)ccc21,[Br-],COCCn1c[n+](CCc2ccccc2)c2cc(C)ccc21.[Br-],2.597,395.15,375.31
C[Si](C)(C)CCCn1c[n+](Cc2ccccc2)c2ccccc21,[Br-],C[Si](C)(C)CCCn1c[n+](Cc2ccccc2)c2ccccc21.[Br-],2.604,402.15,403.44
Cc1ccc2c(c1)[n+](CCc1ccccc1)cn2CCc1ccccc1,[Br-],Cc1ccc2c(c1)[n+](CCc1ccccc1)cn2CCc1ccccc1.[Br-],2.598,396.15,421.382
COc1ccccc1C[n+]1cn(CCC[Si](C)(C)C)c2ccccc21,[Br-],COc1ccccc1C[n+]1cn(CCC[Si](C)(C)C)c2ccccc21.[Br-],2.652,449.15,433.466
O=[N+]([O-])c1ccc2c(c1)[n+](CCc1ccccc1)cn2CCc1ccccc1,[Br-],O=[N+]([O-])c1ccc2c(c1)[n+](CCc1ccccc1)cn2CCc1ccccc1.[Br-],2.656,453.15,452.352
O=C(C[n+]1cn(Cc2ccccc2)c2ccccc21)c1cccs1,[Br-],O=C(C[n+]1cn(Cc2ccccc2)c2ccccc21)c1cccs1.[Br-],2.68,478.15,413.34
CCCCCCCC[n+]1c(C)n(CC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCC[n+]1c(C)n(CC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.689,488.15,452.22
CCCCCCCC[n+]1c(C)n(CCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCC[n+]1c(C)n(CCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.676,474.15,466.247
CCCCCCCC[n+]1c(C)n(CCCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCC[n+]1c(C)n(CCCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.689,488.15,494.301
CCCCCCCCCCC[n+]1c(C)n(CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCCCCC[n+]1c(C)n(CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.634,430.15,522.355
CCCCCCN1C(=CC=Cc2n(CCCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCC)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCN1C(=CC=Cc2n(CCCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCC)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.622,419.15,833.523
CCCCCCCCN1C(=CC=Cc2n(CCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCCCC)N(CCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCCN1C(=CC=Cc2n(CCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCCCC)N(CCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.588,387.15,861.577
CCCCCCCN1C(=CC=Cc2n(CCCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCCC)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCN1C(=CC=Cc2n(CCCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCCC)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.603,401.15,861.577
CCCCCCCCCCN1C(=CC=Cc2n(CCCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCCCCCC)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCCCCN1C(=CC=Cc2n(CCCC(=O)O)c3cc(Cl)c(Cl)cc3[n+]2CCCCCCCCCC)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.58,380.15,945.739
CC(C)Cn1c[n+](C)c2ccccc21,[Br-],CC(C)Cn1c[n+](C)c2ccccc21.[Br-],2.662,459.15,269.186
CC(C)n1c[n+](C(C)C)c2ccccc21,[Br-],CC(C)n1c[n+](C(C)C)c2ccccc21.[Br-],2.6,398.15,283.213
CC(C)Cn1c[n+](CC(C)C)c2ccccc21,[Br-],CC(C)Cn1c[n+](CC(C)C)c2ccccc21.[Br-],2.654,451.15,311.267
Nc1n(Cc2ccccc2)c2ccccc2[n+]1CC(=O)O,[Br-],Nc1n(Cc2ccccc2)c2ccccc2[n+]1CC(=O)O.[Br-],2.637,433.15,362.227
CCCCCCCCCCCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21,[Br-],CCCCCCCCCCCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21.[Br-],2.704,506.15,472.515
CCCCCCCCCCCC[n+]1c(N)n(Cc2ccc(C)cc2)c2ccccc21,[Br-],CCCCCCCCCCCC[n+]1c(N)n(Cc2ccc(C)cc2)c2ccccc21.[Br-],2.713,516.15,486.542
CCCCCCCCCCCC[n+]1c(N)n(CCCc2ccccc2)c2ccccc21,[Br-],CCCCCCCCCCCC[n+]1c(N)n(CCCc2ccccc2)c2ccccc21.[Br-],2.7,501.15,500.569
Nc1n(Cc2ccccc2)c2ccccc2[n+]1CCCCCCCCCCCCBr,[Br-],Nc1n(Cc2ccccc2)c2ccccc2[n+]1CCCCCCCCCCCCBr.[Br-],2.71,513.15,551.411
CC(C)(C)OC(=O)NCCCCCCCCCCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21,[Br-],CC(C)(C)OC(=O)NCCCCCCCCCCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21.[Br-],2.689,489.15,573.62
Nc1n(Cc2ccccc2)c2ccccc2[n+]1CCCCCCCCCCCCN1C(=O)c2ccccc2C1=O,[Br-],Nc1n(Cc2ccccc2)c2ccccc2[n+]1CCCCCCCCCCCCN1C(=O)c2ccccc2C1=O.[Br-],2.675,473.15,617.632
CC(C(=O)c1ccc(-c2ccccc2)cc1)n1cc[n+](C(C)C(=O)c2ccc(-c3ccccc3)cc2)c1,[Br-],CC(C(=O)c1ccc(-c2ccccc2)cc1)n1cc[n+](C(C)C(=O)c2ccc(-c3ccccc3)cc2)c1.[Br-],2.697,498.15,565.511
Cn1cc[n+](CC(=O)c2ccc(C(N)=O)cc2)c1,[Br-],Cn1cc[n+](CC(=O)c2ccc(C(N)=O)cc2)c1.[Br-],2.706,508.15,324.178
Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccccc1,[Br-],Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccccc1.[Br-],2.703,504.15,490.445
CC(=O)Cn1c(C)[n+](C)c2ccccc21,[Br-],CC(=O)Cn1c(C)[n+](C)c2ccccc21.[Br-],2.705,507.15,283.169
CCOC(=O)C[n+]1c(C)n(CC)c2ccccc21,[Br-],CCOC(=O)C[n+]1c(C)n(CC)c2ccccc21.[Br-],2.704,506.15,327.222
Cn1c[n+](CC(=O)c2ccccc2)c2cc(Cl)ccc21,[Br-],Cn1c[n+](CC(=O)c2ccccc2)c2cc(Cl)ccc21.[Br-],2.705,507.15,365.658
CCCCCCCCCCCCCCCCn1c(C)[n+](CCCCCCCCCCCCCCCC)c2ccccc21,[Br-],CCCCCCCCCCCCCCCCn1c(C)[n+](CCCCCCCCCCCCCCCC)c2ccccc21.[Br-],2.709,512.15,661.942
Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c[n+]1CC(=O)c1ccccc1,[Br-],Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c[n+]1CC(=O)c1ccccc1.[Br-],2.68,479.15,523.474
CCC1C(=O)OCC1Cc1c[n+](CC(=O)c2ccc(Br)cc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](CC(=O)c2ccc(Br)cc2)cn1C.[Br-],2.693,493.15,486.204
CCn1c[n+](CC)c2ccccc21,[Br-],CCn1c[n+](CC)c2ccccc21.[Br-],2.68,479.15,255.159
Cn1c[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],Cn1c[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.685,484.15,331.213
COC(=O)Cn1c(C)[n+](CC(=O)c2ccc(C)cc2)c2ccccc21,[Br-],COC(=O)Cn1c(C)[n+](CC(=O)c2ccc(C)cc2)c2ccccc21.[Br-],2.69,490.15,417.303
COC(=O)Cn1c(C)[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21,[Br-],COC(=O)Cn1c(C)[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21.[Br-],2.685,484.15,482.172
CCCCCCCCn1c(C)[n+](CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCCn1c(C)[n+](CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.682,481.15,480.274
Cc1n(CCc2ccccc2)cc[n+]1CC(=O)c1ccc(Br)cc1,[Br-],Cc1n(CCc2ccccc2)cc[n+]1CC(=O)c1ccc(Br)cc1.[Br-],2.669,466.15,464.201
CCC1C(=O)OCC1Cc1c[n+](CCc2ccccc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](CCc2ccccc2)cn1C.[Br-],2.649,446.15,393.325
CCC1C(=O)OCC1Cc1c[n+](CC(=O)c2ccc(-c3ccccc3)cc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](CC(=O)c2ccc(-c3ccccc3)cc2)cn1C.[Br-],2.655,452.15,483.406
CCc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,[Br-],CCc1ccc(C(=O)C[n+]2ccn(C)c2)cc1.[Br-],2.654,451.15,309.207
C[n+]1ccn(C(c2ccccc2)c2ccccc2)c1,[Br-],C[n+]1ccn(C(c2ccccc2)c2ccccc2)c1.[Br-],2.65,447.15,329.241
O=C(Cn1c[n+](CC(=O)c2ccccc2)c2ccccc21)c1ccccc1,[Br-],O=C(Cn1c[n+](CC(=O)c2ccccc2)c2ccccc21)c1ccccc1.[Br-],2.654,451.15,435.321
CCOC(=O)C[n+]1cn(Cc2ccccc2)c2ccccc21,[Br-],CCOC(=O)C[n+]1cn(Cc2ccccc2)c2ccccc21.[Br-],2.644,440.15,375.266
CCC1C(=O)OCC1Cc1c[n+](Cc2ccc(Br)cc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](Cc2ccc(Br)cc2)cn1C.[Br-],2.636,432.15,458.194
Cc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,[Br-],Cc1ccc(C(=O)C[n+]2ccn(C)c2)cc1.[Br-],2.626,423.15,295.18
CCCn1cc[n+](CC(=O)c2ccccc2)c1,[Br-],CCCn1cc[n+](CC(=O)c2ccccc2)c1.[Br-],2.625,422.15,309.207
CC[n+]1ccn(C(c2ccccc2)c2ccccc2)c1,[Br-],CC[n+]1ccn(C(c2ccccc2)c2ccccc2)c1.[Br-],2.613,410.15,343.268
CCOC(=O)C[n+]1cn(C)c2ccccc21,[Br-],CCOC(=O)C[n+]1cn(C)c2ccccc21.[Br-],2.634,430.15,299.168
C[Si](C)(C)CCCn1c[n+](Cc2ccc(Br)cc2)c2ccccc21,[Br-],C[Si](C)(C)CCCn1c[n+](Cc2ccc(Br)cc2)c2ccccc21.[Br-],2.632,428.15,482.336
CCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C,[Br-],CCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C.[Br-],2.575,376.15,449.521
CCCC[n+]1cc(CC2COC(=O)C2CC)n(C)c1,[Br-],CCCC[n+]1cc(CC2COC(=O)C2CC)n(C)c1.[Br-],2.585,384.15,345.281
COC(=O)Cn1cc[n+](CC(=O)c2ccccc2)c1,[Br-],COC(=O)Cn1cc[n+](CC(=O)c2ccccc2)c1.[Br-],2.6,398.15,339.189
CCCCCCCCn1c[n+](CCCCCCCC)c2ccccc21,[Br-],CCCCCCCCn1c[n+](CCCCCCCC)c2ccccc21.[Br-],2.58,380.15,423.483
CCCn1c[n+](CCC#N)c2ccccc21,[Br-],CCCn1c[n+](CCC#N)c2ccccc21.[Br-],2.595,393.15,294.196
CCCCCCCCCCn1cc[n+](C)c1C,[Br-],CCCCCCCCCCn1cc[n+](C)c1C.[Br-],2.554,358.15,317.315
CC[n+]1ccn(C)c1,[Br-],CC[n+]1ccn(C)c1.[Br-],2.545,351.15,191.072
Cn1cc[n+](CCO)c1,[Br-],Cn1cc[n+](CCO)c1.[Br-],2.568,370.15,207.071
c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,[Br-],c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1.[Br-],2.527,336.15,329.241
CCC[n+]1ccn(C)c1,[Br-],CCC[n+]1ccn(C)c1.[Br-],2.489,308.15,205.099
Cc1n(Cc2ccccc2)cc[n+]1CC(=O)c1ccccc1,[Br-],Cc1n(Cc2ccccc2)cc[n+]1CC(=O)c1ccccc1.[Br-],2.709,512.15,371.278
CC(C)(C(=O)c1ccc(-c2ccccc2)cc1)n1cc[n+](C(C)(C)C(=O)c2ccc(-c3ccccc3)cc2)c1,[Br-],CC(C)(C(=O)c1ccc(-c2ccccc2)cc1)n1cc[n+](C(C)(C)C(=O)c2ccc(-c3ccccc3)cc2)c1.[Br-],2.711,514.15,593.565
Cc1ccc(C[n+]2ccn(CCC(C(N)=O)(c3ccccc3)c3ccccc3)c2C)cc1,[Br-],Cc1ccc(C[n+]2ccn(CCC(C(N)=O)(c3ccccc3)c3ccccc3)c2C)cc1.[Br-],2.711,514.15,504.472
Cc1n(CCCC(=O)O)c2ccccc2[n+]1Cc1ccccc1,[Br-],Cc1n(CCCC(=O)O)c2ccccc2[n+]1Cc1ccccc1.[Br-],2.706,508.15,389.293
O=C(Cn1cc[n+](CC(=O)c2ccc([N+](=O)[O-])cc2)c1)c1ccc([N+](=O)[O-])cc1,[Br-],O=C(Cn1cc[n+](CC(=O)c2ccc([N+](=O)[O-])cc2)c1)c1ccc([N+](=O)[O-])cc1.[Br-],2.689,488.15,475.255
Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccc(Br)cc1,[Br-],Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccc(Br)cc1.[Br-],2.693,493.15,569.341
CCOC(=O)C[n+]1c(C)n(C)c2ccccc21,[Br-],CCOC(=O)C[n+]1c(C)n(C)c2ccccc21.[Br-],2.689,488.15,313.195
COC(=O)Cn1c(C)[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],COC(=O)Cn1c(C)[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.68,478.15,403.276
CCOC(=O)Cn1c(C)[n+](CC(=O)c2ccccc2)c2ccccc21,[Br-],CCOC(=O)Cn1c(C)[n+](CC(=O)c2ccccc2)c2ccccc21.[Br-],2.689,488.15,417.303
CCCCn1c(C)[n+](CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCn1c(C)[n+](CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.69,490.15,424.166
CCCCN1C(=CC=Cc2n(CCCC)c3cc(Cl)c(Cl)cc3[n+]2CCCC(=O)O)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCN1C(=CC=Cc2n(CCCC)c3cc(Cl)c(Cl)cc3[n+]2CCCC(=O)O)N(CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.675,473.15,777.415
Cn1cc[n+](CCc2ccc([N+](=O)[O-])cc2)c1,[Br-],Cn1cc[n+](CCc2ccc([N+](=O)[O-])cc2)c1.[Br-],2.661,458.15,312.167
CCC1C(=O)OCC1Cc1c[n+](Cc2ccc(C)cc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](Cc2ccc(C)cc2)cn1C.[Br-],2.664,461.15,393.325
CC(C(=O)c1ccccc1)[n+]1ccn(C)c1,[Br-],CC(C(=O)c1ccccc1)[n+]1ccn(C)c1.[Br-],2.646,442.15,295.18
N#CCC[n+]1ccn(CC(=O)c2ccccc2)c1,[Br-],N#CCC[n+]1ccn(CC(=O)c2ccccc2)c1.[Br-],2.662,459.15,320.19
C=CC[n+]1cn(C)c2ccccc21,[Br-],C=CC[n+]1cn(C)c2ccccc21.[Br-],2.64,436.15,253.143
O=C(C[n+]1cn(Cc2ccccc2)c2ccccc21)c1ccccc1,[Br-],O=C(C[n+]1cn(Cc2ccccc2)c2ccccc21)c1ccccc1.[Br-],2.656,453.15,407.311
C=CCn1c[n+](CC)c2ccccc21,[Br-],C=CCn1c[n+](CC)c2ccccc21.[Br-],2.651,448.15,267.17
CCC1C(=O)OCC1Cc1c[n+](CC(=O)c2ccc([N+](=O)[O-])cc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](CC(=O)c2ccc([N+](=O)[O-])cc2)cn1C.[Br-],2.616,413.15,452.305
Cn1cc[n+](C(C)(C)C(=O)c2ccccc2)c1,[Br-],Cn1cc[n+](C(C)(C)C(=O)c2ccccc2)c1.[Br-],2.615,412.15,309.207
CCCn1cc[n+](CCC)c1,[Br-],CCCn1cc[n+](CCC)c1.[Br-],2.611,408.15,233.153
CC(C)n1cc[n+](C(C)C)c1,[Br-],CC(C)n1cc[n+](C(C)C)c1.[Br-],2.613,410.15,233.153
CCCCCCCCCCCCn1c(C)[n+](CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCCCCCCn1c(C)[n+](CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.618,415.15,536.382
CCCCCCCCCC[n+]1c(C)n(CCCC(=O)O)c2cc(Cl)c(Cl)cc21,[Br-],CCCCCCCCCC[n+]1c(C)n(CCCC(=O)O)c2cc(Cl)c(Cl)cc21.[Br-],2.634,430.15,508.328
Cn1cc[n+](C)c1,[Br-],Cn1cc[n+](C)c1.[Br-],2.586,385.15,177.045
CCC1C(=O)OCC1Cc1c[n+](Cc2ccccc2)cn1C,[Br-],CCC1C(=O)OCC1Cc1c[n+](Cc2ccccc2)cn1C.[Br-],2.601,399.15,379.298
CCCCCCCCCCCCCCCCN1C(=CC=Cc2n(CCCCCCCCCCCCCCCC)c3ccccc3[n+]2CCCCCCCCCCCCCCCC)N(CCCCCCCCCCCCCCCC)c2ccccc21,[Br-],CCCCCCCCCCCCCCCCN1C(=CC=Cc2n(CCCCCCCCCCCCCCCC)c3ccccc3[n+]2CCCCCCCCCCCCCCCC)N(CCCCCCCCCCCCCCCC)c2ccccc21.[Br-],2.602,400.15,1252.967
C=CCn1c[n+](CCC#N)c2ccccc21,[Br-],C=CCn1c[n+](CCC#N)c2ccccc21.[Br-],2.588,387.15,292.18
CCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C,[Br-],CCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C.[Br-],2.558,361.15,393.413
CCCC[n+]1ccn(C)c1,[Br-],CCCC[n+]1ccn(C)c1.[Br-],2.545,351.15,219.126
C=CCn1cc[n+](C)c1,[Br-],C=CCn1cc[n+](C)c1.[Br-],2.513,326.15,203.083
CC[n+]1ccn(C(C)CO)c1,[Br-],CC[n+]1ccn(C(C)CO)c1.[Br-],2.446,279.15,235.125
CCOC(=O)C[N+](C)(C)C,[Br-],CCOC(=O)C[N+](C)(C)C.[Br-],2.636,432.15,226.114
CCCCCCCCCCCCCCCC[N+](C)(C)CCCC,[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],2.553,357.15,406.537
CCCCCCC(=O)C[N+](CC)(CC)CC,[Br-],CCCCCCC(=O)C[N+](CC)(CC)CC.[Br-],2.575,376.15,308.304
CCCCCCCCCCCCCCCC[N+](C)(CCO)CCO,[Br-],CCCCCCCCCCCCCCCC[N+](C)(CCO)CCO.[Br-],2.604,402.15,424.508
CCCCCCCCCCCCCCCC[N+](C)(C)c1ccccc1,[Br-],CCCCCCCCCCCCCCCC[N+](C)(C)c1ccccc1.[Br-],2.591,390.15,426.527
