Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
CCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C,F[B-](F)(F)F,CCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,344.15,2.537,427.42
CCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C,F[B-](F)(F)F,CCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,330.15,2.519,441.447
CCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C,F[B-](F)(F)F,CCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,319.15,2.504,455.474
CCCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C,F[B-](F)(F)F,CCCCCCCCCCCC[N+](C)(C)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,316.15,2.5,469.501
CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1,F[B-](F)(F)F,CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1.F[B-](F)(F)F,372.15,2.571,391.302
CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC1CCC(C(C)C)C(OC[N+](C)(C)Cc2ccccc2)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,320.15,2.505,584.645
CC[N+](C)(CC)COC1CC(C)CCC1C(C)C,F[B-](F)(F)F,CC[N+](C)(CC)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,424.15,2.628,343.258
CC[N+](CC)(CC)COC1CC(C)CCC1C(C)C,F[B-](F)(F)F,CC[N+](CC)(CC)COC1CC(C)CCC1C(C)C.F[B-](F)(F)F,399.15,2.601,357.285
CCC[N+](C)(CC)CC,F[B-](F)(F)F,CCC[N+](C)(CC)CC.F[B-](F)(F)F,459.15,2.662,217.059
CCC[N+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,287.15,2.458,410.402
CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)F,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,368.15,2.566,267.066
CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)F,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F,327.15,2.515,317.073
CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,330.15,2.519,367.08
CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,327.15,2.515,417.087
CCCC[N+](C)(CC)CC,F[B-](F)(F)F,CCCC[N+](C)(CC)CC.F[B-](F)(F)F,438.15,2.642,231.086
CCCC[N+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,282.15,2.45,424.429
CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)F,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,270.15,2.432,281.093
CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)F,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F,288.15,2.46,331.1
CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,323.15,2.509,381.107
CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,333.15,2.523,431.114
COCC[N+](C)(C)C,F[B-](F)(F)F,COCC[N+](C)(C)C.F[B-](F)(F)F,327.15,2.515,205.004
COCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,310.15,2.492,398.347
COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)F,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)F,350.15,2.544,255.011
COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)C(F)(F)F,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)F,303.15,2.482,305.018
COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,296.15,2.472,355.025
COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,323.15,2.509,405.032
CC[N+](C)(C)CCOC,F[B-](F)(F)F,CC[N+](C)(C)CCOC.F[B-](F)(F)F,277.15,2.443,219.031
CC[N+](C)(C)CCOC,F[B-](F)(F)C(F)(F)F,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)F,281.15,2.449,269.038
CC[N+](C)(C)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)F,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F,240.15,2.38,319.045
CC[N+](C)(C)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC[N+](C)(C)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,245.15,2.389,419.059
CC[N+](C)(CC)CCOC,F[B-](F)(F)C(F)(F)F,CC[N+](C)(CC)CCOC.F[B-](F)(F)C(F)(F)F,251.15,2.4,283.065
CC[N+](CC)(CC)CCOC,F[B-](F)(F)F,CC[N+](CC)(CC)CCOC.F[B-](F)(F)F,329.15,2.517,247.085
CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)F,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)F,283.15,2.452,297.092
CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)F,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)F,276.15,2.441,347.099
CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,279.15,2.446,397.106
CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,284.15,2.454,447.113
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,F[B-](F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.F[B-](F)(F)F,333.15,2.523,455.518
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,309.15,2.49,1231.926
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[BH4-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[BH4-],265.15,2.423,383.558
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,234.15,2.369,648.861
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=[N+]([O-])[O-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=[N+]([O-])[O-],286.15,2.457,430.718
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,Cc1ccc(S(=O)(=O)[O-])cc1,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.Cc1ccc(S(=O)(=O)[O-])cc1,351.15,2.545,539.911
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])OCC(F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)F,277.15,2.443,547.809
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])OCC(F)(F)C(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)C(F)F,268.15,2.428,579.826
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,271.15,2.433,679.84
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])O,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])O,251.15,2.4,465.785
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,F[P-](F)(F)(F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.F[P-](F)(F)(F)(F)F,332.15,2.521,513.676
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=P([O-])(O)O,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=P([O-])(O)O,250.15,2.398,465.7
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,CC(=O)[O-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.CC(=O)[O-],250.15,2.398,427.758
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=C[O-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C[O-],277.15,2.443,413.731
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=C([O-])O,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])O,266.15,2.425,429.73
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,CC=CC(=O)[O-],CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.CC=CC(=O)[O-],291.15,2.464,453.796
CCCCCCCC[N+]12CCN(CC1)CC2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,299.15,2.476,505.547
CCC[NH+](CCC)CCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,263.15,2.42,351.331
CCC[NH+](CCC)CCC,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,CCC[NH+](CCC)CCC.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,190.15,2.279,439.456
CCC[NH+](CCC)CCC,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,191.15,2.281,349.393
CCC[NH+](CCC)CCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CCC[NH+](CCC)CCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,208.15,2.318,365.461
CCCC[NH+](CCCC)CCCC,O=[N+]([O-])[O-],CCCC[NH+](CCCC)CCCC.O=[N+]([O-])[O-],295.15,2.47,248.367
CCCC[NH+](CCCC)CCCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,180.15,2.256,393.412
CCCC[NH+](CCCC)CCCC,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,CCCC[NH+](CCCC)CCCC.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,208.15,2.318,481.537
CCCC[NH+](CCCC)CCCC,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,208.15,2.318,391.474
CCCC[NH+](CCCC)CCCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CCCC[NH+](CCCC)CCCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,325.15,2.512,407.542
CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,262.15,2.419,561.736
CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,177.15,2.248,649.861
CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,181.15,2.258,559.798
CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,187.15,2.272,575.866
CCC[NH2+]CCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,CCC[NH2+]CCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,370.15,2.568,309.25
CCC[NH2+]CCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CCC[NH2+]CCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,376.15,2.575,323.38
CCC[NH2+]CCC,N#C[S-],CCC[NH2+]CCC.N#C[S-],279.15,2.446,160.286
CC(C)[NH2+]C(C)C,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)[NH2+]C(C)C.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,364.15,2.561,397.375
CC(C)[NH2+]C(C)C,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CC(C)[NH2+]C(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,397.15,2.599,323.38
CCCC[NH2+]CCCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,CCCC[NH2+]CCCC.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,357.15,2.553,337.304
CCCC[NH2+]CCCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CCCC[NH2+]CCCC.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,344.15,2.537,351.434
CC(C)C[NH2+]CC(C)C,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)C[NH2+]CC(C)C.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,336.15,2.527,425.429
CC(C)C[NH2+]CC(C)C,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,CC(C)C[NH2+]CC(C)C.O=C([CH-]C(=O)C(F)(F)F)c1cccs1,413.15,2.616,351.434
CC[N+]12CCN(CC1)CC2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+]12CCN(CC1)CC2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,349.15,2.543,421.385
CC[NH+](CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[NH+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,276.15,2.441,382.348
CC[NH3+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,321.15,2.507,326.24
CC[NH3+],O=[N+]([O-])[O-],CC[NH3+].O=[N+]([O-])[O-],282.15,2.45,108.097
CC[NH3+],O=S(=O)([O-])O,CC[NH3+].O=S(=O)([O-])O,313.15,2.496,143.164
CC[NH3+],CC(=O)[O-],CC[NH3+].CC(=O)[O-],360.15,2.556,105.137
CC[NH3+],O=C[O-],CC[NH3+].O=C[O-],258.15,2.412,91.11
C[N+](C)(C)CC#N,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+](C)(C)CC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.15,2.489,379.304
[NH3+]CCO,O=[N+]([O-])[O-],[NH3+]CCO.O=[N+]([O-])[O-],324.15,2.511,124.096
[NH3+]CCO,COS(=O)(=O)[O-],[NH3+]CCO.COS(=O)(=O)[O-],372.15,2.571,173.19
CCCCC[N+](C)(C)CCCCC,[Br-],CCCCC[N+](C)(C)CCCCC.[Br-],349.15,2.543,266.267
CCCCC[N+](C)(C)CCCCC,[I-],CCCCC[N+](C)(C)CCCCC.[I-],359.15,2.555,313.267
CCCCCC[N+](C)(C)CCCCCC,[Br-],CCCCCC[N+](C)(C)CCCCCC.[Br-],327.15,2.515,294.321
CCCCCC[N+](C)(C)CCCCCC,[I-],CCCCCC[N+](C)(C)CCCCCC.[I-],318.15,2.503,341.321
CCCCC[N+](CC)(CC)CCCCC,[Br-],CCCCC[N+](CC)(CC)CCCCC.[Br-],331.15,2.52,294.321
CCCCC[N+](CC)(CC)CCCCC,[I-],CCCCC[N+](CC)(CC)CCCCC.[I-],368.15,2.566,341.321
CCCCCC[N+](CC)(CC)CCCCCC,[Br-],CCCCCC[N+](CC)(CC)CCCCCC.[Br-],348.15,2.542,322.375
CCCCCC[N+](CC)(CC)CCCCCC,[I-],CCCCCC[N+](CC)(CC)CCCCCC.[I-],346.15,2.539,369.375
O=C1CCCCC[NH2+]1,O=[N+]([O-])[O-],O=C1CCCCC[NH2+]1.O=[N+]([O-])[O-],318.15,2.503,176.172
O=C1CCCCC[NH2+]1,O=C([O-])c1ccccc1,O=C1CCCCC[NH2+]1.O=C([O-])c1ccccc1,304.15,2.483,235.283
O=C1CCCCC[NH2+]1,O=C([O-])CCl,O=C1CCCCC[NH2+]1.O=C([O-])CCl,302.15,2.48,207.657
CCCC(=O)OCC[N+](C)(C)C,O=C1[N-]S(=O)(=O)c2ccccc21,CCCC(=O)OCC[N+](C)(C)C.O=C1[N-]S(=O)(=O)c2ccccc21,362.15,2.559,356.444
CCCC(=O)OCC[N+](C)(C)C,CC1=CC(=O)[N-]S(=O)(=O)O1,CCCC(=O)OCC[N+](C)(C)C.CC1=CC(=O)[N-]S(=O)(=O)O1,322.15,2.508,336.41
C[N+](C)(C)CCO,O=P([O-])(O)O,C[N+](C)(C)CCO.O=P([O-])(O)O,392.15,2.593,201.159
O=C1CCC[NH2+]1,O=[N+]([O-])[O-],O=C1CCC[NH2+]1.O=[N+]([O-])[O-],281.15,2.449,148.118
O=C1CCC[NH2+]1,O=C([O-])c1ccccc1,O=C1CCC[NH2+]1.O=C([O-])c1ccccc1,280.15,2.447,207.229
O=C1CCC[NH2+]1,O=C([O-])CCl,O=C1CCC[NH2+]1.O=C([O-])CCl,305.15,2.485,179.603
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,F[B-](F)(F)F,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.F[B-](F)(F)F,301.15,2.479,413.437
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,O=N[O-],CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=N[O-],271.15,2.433,372.638
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,F[B-](F)(F)F,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.F[B-](F)(F)F,329.15,2.517,405.373
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,O=[N+]([O-])[O-],CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=[N+]([O-])[O-],309.15,2.49,380.573
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,O=[N+]([O-])[O-],CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.O=[N+]([O-])[O-],358.15,2.554,474.642
C[N+](C)(C)CCCCS(=O)(=O)O,O=S(=O)([O-])O,C[N+](C)(C)CCCCS(=O)(=O)O.O=S(=O)([O-])O,262.15,2.419,293.363
C[NH3+],O=C[O-],C[NH3+].O=C[O-],286.15,2.457,77.083
CCC[NH3+],O=[N+]([O-])[O-],CCC[NH3+].O=[N+]([O-])[O-],277.15,2.443,122.124
CCC[NH3+],O=C([O-])C(F)(F)F,CCC[NH3+].O=C([O-])C(F)(F)F,340.15,2.532,173.134
CCC[NH3+],O=C[O-],CCC[NH3+].O=C[O-],323.15,2.509,105.137
CCCC[NH3+],O=C[O-],CCCC[NH3+].O=C[O-],275.15,2.44,119.164
CCCC[NH3+],N#C[S-],CCCC[NH3+].N#C[S-],294.15,2.469,132.232
CCCCC[NH3+],O=C[O-],CCCCC[NH3+].O=C[O-],285.15,2.455,133.191
CC(C)C[NH3+],O=C[O-],CC(C)C[NH3+].O=C[O-],299.15,2.476,119.164
CCC(C)C[NH3+],O=C[O-],CCC(C)C[NH3+].O=C[O-],272.15,2.435,133.191
CC(C)CC[NH3+],O=C[O-],CC(C)CC[NH3+].O=C[O-],320.15,2.505,133.191
C[N+](C)(C)CCCS(=O)(=O)O,O=S(=O)([O-])O,C[N+](C)(C)CCCS(=O)(=O)O.O=S(=O)([O-])O,261.15,2.417,279.336
CC[N+](CC)(CC)CCCS(=O)(=O)O,O=S(=O)([O-])O,CC[N+](CC)(CC)CCCS(=O)(=O)O.O=S(=O)([O-])O,264.15,2.422,321.417
CCCC[N+](CCCC)(CCCC)CCCS(=O)(=O)O,O=S(=O)([O-])O,CCCC[N+](CCCC)(CCCC)CCCS(=O)(=O)O.O=S(=O)([O-])O,266.15,2.425,405.579
CC[N+](CC)(CC)Cc1ccccc1,N#C[N-]C#N,CC[N+](CC)(CC)Cc1ccccc1.N#C[N-]C#N,356.15,2.552,258.369
CC[N+](CC)(CC)Cc1ccccc1,O=S(=O)([O-])C(F)(F)F,CC[N+](CC)(CC)Cc1ccccc1.O=S(=O)([O-])C(F)(F)F,382.15,2.582,341.395
CC[N+](CC)(CC)Cc1ccccc1,O=C1[N-]S(=O)(=O)c2ccccc21,CC[N+](CC)(CC)Cc1ccccc1.O=C1[N-]S(=O)(=O)c2ccccc21,424.15,2.628,374.506
CC[N+](CC)(CC)Cc1ccccc1,N#C[S-],CC[N+](CC)(CC)Cc1ccccc1.N#C[S-],361.15,2.558,250.411
C[N+](C)(C)c1ccccc1,N#C[N-]C#N,C[N+](C)(C)c1ccccc1.N#C[N-]C#N,390.15,2.591,202.261
C[N+](C)(C)c1ccccc1,O=S(=O)([O-])C(F)(F)F,C[N+](C)(C)c1ccccc1.O=S(=O)([O-])C(F)(F)F,356.15,2.552,285.287
C[N+](C)(C)c1ccccc1,Cc1ccc(S(=O)(=O)[O-])cc1,C[N+](C)(C)c1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1,423.15,2.626,307.415
C[N+](C)(C)c1ccccc1,O=C1[N-]S(=O)(=O)c2ccccc21,C[N+](C)(C)c1ccccc1.O=C1[N-]S(=O)(=O)c2ccccc21,467.15,2.669,318.398
C[N+](C)(C)c1ccccc1,N#C[S-],C[N+](C)(C)c1ccccc1.N#C[S-],389.15,2.59,194.303
CCCCCCCCCCCC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,280.15,2.447,550.672
CC[N+](CC)(CC)COC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](CC)(CC)COC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,270.15,2.432,426.401
C[N+](C)(Cc1ccccc1)Cc1ccccc1,[Br-],C[N+](C)(Cc1ccccc1)Cc1ccccc1.[Br-],448.15,2.651,306.247
C[N+](C)(Cc1ccccc1)Cc1ccccc1,F[B-](F)(F)F,C[N+](C)(Cc1ccccc1)Cc1ccccc1.F[B-](F)(F)F,439.15,2.643,313.147
C[N+](C)(Cc1ccccc1)Cc1ccccc1,F[P-](F)(F)(F)(F)F,C[N+](C)(Cc1ccccc1)Cc1ccccc1.F[P-](F)(F)(F)(F)F,491.15,2.691,371.305
Cc1ccccc1C[N+](C)(C)Cc1ccccc1C,F[B-](F)(F)F,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C.F[B-](F)(F)F,504.15,2.703,341.201
Cc1ccccc1C[N+](C)(C)Cc1ccccc1C,F[P-](F)(F)(F)(F)F,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C.F[P-](F)(F)(F)(F)F,543.15,2.735,399.359
Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1,[Cl-],Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1.[Cl-],422.15,2.625,289.85
Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1,F[B-](F)(F)F,Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1.F[B-](F)(F)F,436.15,2.64,341.201
Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1,F[P-](F)(F)(F)(F)F,Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1.F[P-](F)(F)(F)(F)F,434.15,2.638,399.359
Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1,[Br-],Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1.[Br-],475.15,2.677,334.301
Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1,F[B-](F)(F)F,Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1.F[B-](F)(F)F,479.15,2.68,341.201
Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1,F[P-](F)(F)(F)(F)F,Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1.F[P-](F)(F)(F)(F)F,491.15,2.691,399.359
