Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
CCCCCCCCCC[n+]1cc[nH]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,279.9,2.447,489.504
CCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,279.1,2.446,274.264
CCCCCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,258.1,2.412,330.372
CCCCCCCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,282.8,2.451,358.426
CCCCCCn1cc[n+](C)c1,CS(=O)(=O)[O-],CCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],309.5,2.491,262.375
CCCCCCCn1cc[n+](C)c1,CS(=O)(=O)[O-],CCCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],310.2,2.492,276.402
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],573.15,2.758,274.246
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],526.15,2.721,288.273
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],495.15,2.695,316.327
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],471.15,2.673,344.381
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],484.15,2.685,372.435
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],484.15,2.685,400.489
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,[Br-],CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],481.15,2.682,428.543
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,547.45,2.738,281.146
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,512.35,2.71,295.173
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,442.95,2.646,323.227
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,431.75,2.635,351.281
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,412.35,2.615,379.335
